drugname,ADR_Count,indi_pt,Severe_Outcome_Rate,ADR_Rate
ZARONTIN,172,"PARTIAL EPILEPSY, EPILEPSY, OTITIS MEDIA RECURRENT",0.0,3.1758558146688715e-05
PAXIL CR,171,"ANXIETY, DEPRESSION, PRODUCT USED FOR UNKNOWN INDICATION",0.011695906432748537,3.157391536676611e-05
INSPRA,171,"HEART FAILURE, IHD, HYPERTENSION",0.42105263157894735,3.157391536676611e-05
ADIRO,171,"CARDIAC VALVE PROSTHESIS USER, ATRIAL FIBRILLATION, HYPERTENSION",0.0,3.157391536676611e-05
SYLATRON,171,"MALIGNANT MELANOMA, PROPHYLAXIS, MELANOMA",0.0,3.157391536676611e-05
PROFLOX,170,"RESPIRATORY TRACT INFECTION, MIGRAINE, ABDOMINAL DISCOMFORT",0.4411764705882353,3.13892725868435e-05
CALCIUM FOLINATE,170,"RECTAL CANCER, STOMACH CANCER, CHEMOTHERAPY",0.21176470588235294,3.13892725868435e-05
HYDROCODONE-ACETAMINOPHEN,170,"GALLBLADDER PAIN, GALLBLADDER SLUDGE",0.011764705882352941,3.13892725868435e-05
MILNACIPRAN,170,"DEPRESSION, ANXIOLYTIC THERAPY, PRODUCT USED FOR UNKNOWN INDICATION",0.07058823529411765,3.13892725868435e-05
SORIATANE,170,"LICHEN SCLEROSUS, PRODUCT USED FOR UNKNOWN INDICATION, DRUG INDUCED LIVER INJURY",0.0,3.13892725868435e-05
OXYCODONE W/APAP,170,"KNEE OPERATION, POSTOPERATIVE CARE",0.0,3.13892725868435e-05
RAZADYNE ER,168,"HEAD INJURY, BACK PAIN, NEUROPATHY PERIPHERAL",0.0,3.101998702699828e-05
FINASTERID ABZ,168,"ALOPECIA, DEPRESSION",0.0,3.101998702699828e-05
CILOSTAZOL,167,"INTERMITTENT CLAUDICATION, ANTIPLATELET THERAPY, NEUROPATHY PERIPHERAL",0.09580838323353294,3.0835344247075675e-05
ELLENCE,167,"BREAST CANCER, GASTRIC CANCER, BREAST CANCER FEMALE",0.011976047904191617,3.0835344247075675e-05
CGS 20267,167,"BREAST CANCER, DEPRESSION, CAROTID ARTERY STENOSIS",0.05389221556886228,3.0835344247075675e-05
REMINYL ER,166,"DEMENTIA ALZHEIMER'S TYPE, MEMORY IMPAIRMENT, ANGIOPATHY",0.024096385542168676,3.065070146715307e-05
FLUVASTATIN,166,"HYPERCHOLESTEROLAEMIA, DYSLIPIDAEMIA, BLOOD CHOLESTEROL INCREASED",0.0,3.065070146715307e-05
ISOTRETINOIN,165,"ACNE, NEUROBLASTOMA, ALZHEIMER'S DISEASE",0.05454545454545454,3.0466058687230456e-05
ACETAMINOPHEN & CODEINE PHOSPHATE,165,"SHOULDER PAIN, PAIN, PROPHYLAXIS AGAINST GASTROINTESTINAL ULCER",0.0,3.0466058687230456e-05
SOMATULINE DEPOT,165,"CARCINOID SYNDROME, ACROMEGALY, DRUG USE FOR UNKNOWN INDICATION",0.07272727272727272,3.0466058687230456e-05
CAVERJECT,165,"ERECTILE DYSFUNCTION, BIPOLAR I DISORDER, BIPOLAR DISORDER",0.0,3.0466058687230456e-05
BENDAMUSTINE,165,"MANTLE CELL LYMPHOMA, CANCER, NON-HODGKIN'S LYMPHOMA",0.0,3.0466058687230456e-05
"BUDESONIDE, FORMOTEROL FUMARATE",164,"DYSPNOEA, GASTROOESOPHAGEAL REFLUX DISEASE, DYSLIPIDAEMIA",0.18292682926829268,3.0281415907307848e-05
RISPERIDONE (RISPERIDONE),164,"DRUG USE FOR UNKNOWN INDICATION, SCHIZOAFFECTIVE DISORDER, AUDITORY HALLUCINATIONS",0.006097560975609756,3.0281415907307848e-05
IXEMPRA,164,"NON-SMALL CELL LUNG CANCER, TOBACCO USER, NAUSEA",0.006097560975609756,3.0281415907307848e-05
EPIVIR,163,"HIV INFECTION, PARKINSON'S DISEASE, ANTIVIRAL PROPHYLAXIS",0.018404907975460124,3.009677312738524e-05
PROACTIV RENEWING CLEANSER,163,ACNE,0.0,3.009677312738524e-05
SULFAMETHOXAZOLE/TRIMETHOPRIM,163,"KIDNEY STONE, UTI, URINARY TRACT INFECTION",0.018404907975460124,3.009677312738524e-05
BACLOFEN INTRATHECAL,163,"PAIN, SPINAL CORD INJURY, SURGICAL FAILURE",0.147239263803681,3.009677312738524e-05
OKT3,162,"TRANSPLANT REJECTION, INFECTION, PRODUCT USED FOR UNKNOWN INDICATION",0.0,2.991213034746263e-05
ALUVIA TABLETS,162,"HIV INFECTION, PRODUCT USED FOR UNKNOWN INDICATION, TUBERCULOSIS",0.13580246913580246,2.991213034746263e-05
ORAP,162,"HYPERPHAGIA, SEDATION, PRODUCT USED FOR UNKNOWN INDICATION",1.0,2.991213034746263e-05
ROSUVASTATIN CALCIUM,162,"LIPIDS INCREASED, VENOUS INSUFFICIENCY, DIZZINESS",0.0,2.991213034746263e-05
FORMOTEROL,162,"IMMUNISATION, ASTHMA, DYSPNOEA",0.018518518518518517,2.991213034746263e-05
BETALOC ZOK,162,"CORONARY ARTERY DISEASE, VENTRICULAR TACHYCARDIA, DYSLIPIDAEMIA",0.0,2.991213034746263e-05
ANCARON,162,"VENTRICULAR TACHYCARDIA, ATRIAL FIBRILLATION, HYPERTENSION",0.0,2.991213034746263e-05
ERIVEDGE,162,"BASAL CELL CARCINOMA, CEREBROVASCULAR ACCIDENT PROPHYLAXIS, URINARY TRACT INFECTION",0.037037037037037035,2.991213034746263e-05
"HUMALOG 50% LISPRO, 50% NPL",162,"TYPE 2 DIABETES MELLITUS, POLYMYALGIA RHEUMATICA, GASTRITIS",0.006172839506172839,2.991213034746263e-05
ZONEGRAN,162,"DRUG USE FOR UNKNOWN INDICATION, UTI, SEIZURE",0.0,2.991213034746263e-05
TMC114,162,"HIV INFECTION, OPPORTUNISTIC INFECTION PROPHYLAXIS, INSOMNIA",0.43209876543209874,2.991213034746263e-05
LORATADINE,161,"HYPERSENSITIVITY, PRODUCT USED FOR UNKNOWN INDICATION, HAY FEVER",0.031055900621118012,2.972748756754002e-05
ACYCLOVIR,161,"ORAL HERPES, GASTRIC DISORDER, CANDIDIASIS",0.012422360248447204,2.972748756754002e-05
RINDERON-VG,161,"PSEUDOMEMBRANOUS COLITIS, SEPSIS, CORONARY ARTERY DISEASE",0.0,2.972748756754002e-05
"AZOR (OLMESARTAN MEDOXOMIL, AMLODIPINE BESILATE) (TABLET) (OLMESARTAN MEDOXOMIL, AMLODIPINE BESILATE)",161,"HYPERTENSION, BPH, EDEMA PERIPHERAL",0.0,2.972748756754002e-05
MYOCET,160,"BREAST CANCER, CARDIAC DISORDER",0.03125,2.9542844787617413e-05
LIALDA,160,"PRODUCT USED FOR UNKNOWN INDICATION, COLITIS ULCERATIVE, HYPERTENSION",0.00625,2.9542844787617413e-05
INNOHEP (TINZAPARIN SODIUM),160,"DRUG USE FOR UNKNOWN INDICATION, ARTHROSCOPY, VENOUS THROMBOEMBOLISM",0.11875,2.9542844787617413e-05
CETIRIZINE,160,"PRODUCT USED FOR UNKNOWN INDICATION, ALLERGIC RHINITIS, SEASONAL ALLERGY",0.00625,2.9542844787617413e-05
NICOTINE,160,"FOETAL EXPOSURE DURING PREGNANCY, SMOKING CESSATION THERAPY, EX-TOBACCO USER",0.0,2.9542844787617413e-05
OROXADIN,160,"HYPERTRIGLYCERIDEMIA, HYPERCHOLESTEROLEMIA, TYPE 2 DIABETES MELLITUS",0.0,2.9542844787617413e-05
EMEND FOR INJECTION,160,"PROPHYLAXIS OF NAUSEA AND VOMITING, ANTIEMETIC SUPPORTIVE CARE, BREAST CANCER",0.0,2.9542844787617413e-05
CEFOTAXIME SODIUM,160,"CHOLECYSTITIS, DRUG RASH WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS, SWINE INFLUENZA",0.0,2.9542844787617413e-05
ALPRAZOLAM (UNKNOWN),159,"PRODUCT USED FOR UNKNOWN INDICATION, PSYCHOTIC DISORDER, ANXIETY",0.3270440251572327,2.9358202007694805e-05
MAALOX,159,"GASTRITIS, ULCER, ABDOMINAL PAIN UPPER",0.0,2.9358202007694805e-05
ALKERAN,159,"MULTIPLE MYELOMA, PRODUCT USED FOR UNKNOWN INDICATION, STEM CELL TRANSPLANT",0.10062893081761007,2.9358202007694805e-05
FLUTICASONE FUROATE,159,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE, HYPERTENSION, HYPOTHYROIDISM",0.0,2.9358202007694805e-05
TAZOCIN,159,"PNEUMONIA, BACTERIAL INFECTION, ANTIBIOTIC PROPHYLAXIS",0.07547169811320754,2.9358202007694805e-05
RANITIDINE,159,"URTICARIA, PRODUCT USED FOR UNKNOWN INDICATION, GASTROOESOPHAGEAL REFLUX DISEASE",0.031446540880503145,2.9358202007694805e-05
EVRA,158,"CONTRACEPTION, FLUID RETENTION, POLYP",0.02531645569620253,2.9173559227772193e-05
LDE 225,158,"ADENOCARCINOMA PANCREAS, NAUSEA, PANCREATIC CARCINOMA METASTATIC",0.45569620253164556,2.9173559227772193e-05
ABILIFY TABS 10 MG,158,"ANXIETY, DEPRESSION, OBSESSIVE-COMPULSIVE DISORDER",0.056962025316455694,2.9173559227772193e-05
HUMALOG,158,"GESTATIONAL DIABETES, URINARY TRACT INFECTION, TYPE 2 DIABETES MELLITUS",0.0189873417721519,2.9173559227772193e-05
KALETRA TABLETS 200/50,158,"HIV INFECTION, PRODUCT USED FOR UNKNOWN INDICATION, HIV TEST POSITIVE",0.0,2.9173559227772193e-05
KUVAN,158,"PRODUCT USED FOR UNKNOWN INDICATION, SOMNOLENCE, NEUROTRANSMITTER LEVEL ALTERED",0.02531645569620253,2.9173559227772193e-05
LEUCOVORIN CALCIUM,158,"COLON CANCER METASTATIC, GASTRITIS, COLORECTAL CANCER METASTATIC",0.33544303797468356,2.9173559227772193e-05
FLUTICASONE,158,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE, OEDEMA PERIPHERAL, RESPIRATORY DISORDER",0.20253164556962025,2.9173559227772193e-05
ALAVERT,158,"SINUS CONGESTION, HYPERSENSITIVITY, HEADACHE",0.0,2.9173559227772193e-05
TARKA,158,"HYPERTENSION, HIV INFECTION, PRODUCT USED FOR UNKNOWN INDICATION",0.0,2.9173559227772193e-05
AMITRIPTYLINE HCL TABLETS USP,158,"PAIN, HORMONE REPLACEMENT THERAPY, GASTROOESOPHAGEAL REFLUX DISEASE",0.0,2.9173559227772193e-05
MOTRIN IB,157,"BONE PAIN, PYREXIA, MUSCLE STRAIN",0.0,2.8988916447849586e-05
ATARAX-P,157,"AMNESIA, DIURETIC THERAPY, INFECTION",0.0,2.8988916447849586e-05
ALLI,157,"OVERWEIGHT, DEPRESSION, WEIGHT LOSS DIET",0.0,2.8988916447849586e-05
METOPROLOL (METOPROLOL),157,"DRUG USE FOR UNKNOWN INDICATION, ACUTE PROMYELOCYTIC LEUKEMIA, BLOOD PRESSURE HIGH",0.01910828025477707,2.8988916447849586e-05
RETROVIR,156,"PROPHYLAXIS, HIV INFECTION, PRODUCT USED FOR UNKNOWN INDICATION",0.09615384615384616,2.8804273667926978e-05
ALENDRONIC ACID (ALENDRONIC ACID),156,"OSTEOPOROSIS, DRUG USE FOR UNKNOWN INDICATION, ALLERGIC REACTION",0.0,2.8804273667926978e-05
IRBESARTAN,156,"HYPERTENSION, BLOOD PRESSURE HIGH, RENAL TRANSPLANT",0.0,2.8804273667926978e-05
ESOMEPRAZOLE SODIUM,156,"DYSPEPSIA, CROHN'S DISEASE, ANGINA PECTORIS",0.0,2.8804273667926978e-05
VX-770,156,"CYSTIC FIBROSIS, BRONCHIAL OBSTRUCTION, PANCREATIC ENZYMES",0.01282051282051282,2.8804273667926978e-05
GLIMEPIRIDE,155,"DIABETES MELLITUS, TYPE 2 DIABETES MELLITUS, TYPE II DIABETES MELLITUS",0.0064516129032258064,2.8619630888004366e-05
BENEFIX,155,"HAEMATOMA, FACTOR IX DEFICIENCY, HAEMOSTASIS",0.0,2.8619630888004366e-05
METOPROLOL ER,155,"ARRHYTHMIA, HYPERTENSION, BLOOD CHOLESTEROL INCREASED",0.0,2.8619630888004366e-05
DEPAKOTE ER,155,"SCHIZOAFFECTIVE DISORDER, AFFECTIVE DISORDER, SCHIZOPHRENIA, PARANOID TYPE",0.025806451612903226,2.8619630888004366e-05
LEVETIRACETAM (UNKNOWN),153,"PRODUCT USED FOR UNKNOWN INDICATION, POST-TRAUMATIC EPILEPSY, JUVENILE MYOCLONIC EPILEPSY",0.0,2.825034532815915e-05
TRIMETHOPRIM-SULFAMETHOXAZOLE,153,"ISOSPORIASIS, PROPHYLAXIS, DIARRHOEA",0.23529411764705882,2.825034532815915e-05
VINORELBINE,153,"DRUG EXPOSURE IN UTERO, CHEMOTHERAPY, BREAST CANCER METASTATIC",0.39215686274509803,2.825034532815915e-05
KETOCONAZOLE,152,"PITUITARY-DEPENDENT CUSHING'S SYNDROME, PRODUCT USED FOR UNKNOWN INDICATION, CUSHING'S SYNDROME",0.0,2.8065702548236542e-05
FERAHEME,151,"IRON DEFICIENCY ANAEMIA, CHRONIC KIDNEY DISEASE, LYMPHOMA",0.44370860927152317,2.788105976831393e-05
CHLORAMBUCIL (CHLORAMBUCIL) (UNKNOWN),151,"CHRONIC LYMPHOCYTIC LEUKAEMIA, B-CELL LYMPHOMA",0.0,2.788105976831393e-05
NOROXINE,151,"URINARY TRACT INFECTION, HYPERTENSION, HEPATIC NEOPLASM MALIGNANT",0.0,2.788105976831393e-05
ZINNAT,150,"PRODUCT USED FOR UNKNOWN INDICATION, EAR INFECTION, ACUTE TONSILLITIS",0.006666666666666667,2.7696416988391323e-05
TAKEPRON OD (LANSOPRAZOLE),150,"HELICOBACTER PYLORI PROPHYLAXIS, REFLUX ESOPHAGITIS",0.28,2.7696416988391323e-05
NOVOSEVEN,150,"FACTOR VIII DEFICIENCY, MUSCLE HAEMORRHAGE, THIRD STAGE POSTPARTUM HAEMORRHAGE",0.08,2.7696416988391323e-05
PROTOPIC,150,"DERMATITIS EXFOLIATIVE GENERALISED, DERMATITIS ATOPIC, GRAFT VERSUS HOST DISEASE",0.03333333333333333,2.7696416988391323e-05
PROSCAR,150,"VASCULAR GRAFT, CARDIAC DISORDER, BLOOD CHOLESTEROL",0.0,2.7696416988391323e-05
FLUTICASONE PROPIONATE,150,"RHINITIS ALLERGIC, MULTIPLE ALLERGIES, ASTHMA",0.04,2.7696416988391323e-05
METHYLPHENIDATE HYDROCHLORIDE,150,"PRODUCT USED FOR UNKNOWN INDICATION, ATTENTION DEFICIT/HYPERACTIVITY DISORDER, HYPOTHYROIDISM",0.04666666666666667,2.7696416988391323e-05
LINEZOLID,150,"TUBERCULOSIS, DEPRESSION, BACTERIAL INFECTION",0.14,2.7696416988391323e-05
ASA,150,"STROKE PREVENTION, NECK PAIN, CORONARY ARTERY DISEASE",0.0,2.7696416988391323e-05
LIPANTHYL,149,"BLOOD TRIGLYCERIDES INCREASED, ATRIAL FIBRILLATION, HYPERTENSION",0.0,2.7511774208468715e-05
ASS,149,"CORONARY ARTERY DISEASE, PAIN, HYPERTENSION",0.3221476510067114,2.7511774208468715e-05
0.9% SODIUM CHLORIDE INJECTION,149,"HEMODIALYSIS, DRUG USE FOR UNKNOWN INDICATION, PLASMAPHERESIS",0.18791946308724833,2.7511774208468715e-05
VERAPAMIL EXTENDED RELEASE,149,"PRODUCT USED FOR UNKNOWN INDICATION, HYPERSOMNIA, CARDIOMYOPATHY",0.04697986577181208,2.7511774208468715e-05
ASPARAGINASE,149,"ACUTE LYMPHOCYTIC LEUKAEMIA, NATURAL KILLER-CELL LYMPHOBLASTIC LYMPHOMA, PRODUCT USED FOR UNKNOWN INDICATION",0.37583892617449666,2.7511774208468715e-05
"PROVENGE (SIPULEUCEL-T) SUSPENSION, 250 ML",148,"POOR VENOUS ACCESS, PROSTATE CANCER METASTATIC",0.0,2.7327131428546107e-05
BICALUTAMIDE,148,"PROSTATE CANCER, AORTIC VALVE REPLACEMENT, DRUG USE FOR UNKNOWN INDICATION",0.20945945945945946,2.7327131428546107e-05
CARISOPRODOL,148,"PRODUCT USED FOR UNKNOWN INDICATION, DRUG USE FOR UNKNOWN INDICATION, SUICIDE",0.3581081081081081,2.7327131428546107e-05
RIBASPHERE,148,HEPATITIS C,0.0,2.7327131428546107e-05
SANDIMMUN NEORAL,148,"RENAL TRANSPLANT, ALLOGENIC BONE MARROW TRANSPLANTATION THERAPY, HEART TRANSPLANT",0.22297297297297297,2.7327131428546107e-05
CLARITIN REDITABS,147,"PRODUCT USED FOR UNKNOWN INDICATION, HYPERSENSITIVITY, THYROID DISORDER",0.0,2.7142488648623496e-05
CYCLOPHOSPHAMIDE TABLETS USP,147,"CHRONIC LYMPHOCYTIC LEUKAEMIA, GLOMERULONEPHRITIS, DIFFUSE LARGE B-CELL LYMPHOMA",0.047619047619047616,2.7142488648623496e-05
VIREAD,147,"HIV INFECTION, HEPATITIS B, PORTAL HYPERTENSION",0.0,2.7142488648623496e-05
AROPAX,147,"DEPRESSION, MULTIPLE MYELOMA, ANXIETY",0.24489795918367346,2.7142488648623496e-05
JAKAVI,147,"MYELOFIBROSIS, POLYCYTHAEMIA, MYELOPROLIFERATIVE DISORDER",0.14965986394557823,2.7142488648623496e-05
KETEK,146,"BRONCHITIS, TYPE 2 DIABETES MELLITUS, POSTOPERATIVE PAIN",0.0,2.6957845868700888e-05
ITRACONAZOLE,146,"PROPHYLAXIS, FEBRILE NEUTROPENIA, PRODUCT USED FOR UNKNOWN INDICATION",0.17123287671232876,2.6957845868700888e-05
NARDIL,146,"DEPRESSION, AGORAPHOBIA, ANXIETY",0.0,2.6957845868700888e-05
ACETAMINOPHEN\PROPOXYPHENE HYDROCHLORIDE,145,"PRODUCT USED FOR UNKNOWN INDICATION, PAIN MANAGEMENT, PAIN",0.006896551724137931,2.677320308877828e-05
SUMATRIPTAN SUCCINATE,145,"PRODUCT USED FOR UNKNOWN INDICATION, MIGRAINE, CHRONIC MIGRAINE",0.06206896551724138,2.677320308877828e-05
JEVTANA,145,"PROSTATE CANCER, PROSTATE CANCER METASTATIC, HORMONE-REFRACTORY PROSTATE CANCER",0.19310344827586207,2.677320308877828e-05
CARDIOASPIRIN,145,"POSTOPERATIVE CARE, THROMBOSIS PROPHYLAXIS, PROPHYLAXIS",0.020689655172413793,2.677320308877828e-05
JUNEL FE,144,"MUSCLE ACHE, MUSCLE CRAMPS, ADVERSE EVENT",0.0,2.6588560308855672e-05
VINCRISTINE SULFATE,144,"ACUTE MYELOID LEUKAEMIA, DRUG USE FOR UNKNOWN INDICATION, HODGKIN'S DISEASE",0.0,2.6588560308855672e-05
BLINDED AXITINIB,144,"CARCINOMA HEPATOCELLULAR, VITAMIN SUPPLEMENTATION, NUTRITIONAL SUPPLEMENT",0.0,2.6588560308855672e-05
PROMETHAZINE,144,"TRIGEMINAL NEURALGIA, RESTLESSNESS, PSYCHOTIC DISORDER",0.013888888888888888,2.6588560308855672e-05
TAMSULOSIN HYDROCHLORIDE (UNKNOWN),144,"PROSTATIC DISORDER, PRODUCT USED FOR UNKNOWN INDICATION, HYPERCHOLESTEROLAEMIA",0.0,2.6588560308855672e-05
PARONEX,144,"DEPRESSION, PAIN, MENTAL DISORDER",0.0,2.6588560308855672e-05
DOSULEPIN,144,"DEPRESSION, BACK PAIN",0.0,2.6588560308855672e-05
ULTRAM,143,"PRODUCT USED FOR UNKNOWN INDICATION, ARTHRITIS, CARPAL TUNNEL SYNDROME",0.0,2.640391752893306e-05
MICOMBI COMBINATION,143,"HYPERTENSION, DIABETES MELLITUS, PROPHYLAXIS AGAINST GASTROINTESTINAL ULCER",0.006993006993006993,2.640391752893306e-05
BENADRYL ALLERGY ULTRATAB,143,"HYPERSENSITIVITY, BLOOD PRESSURE, CARDIAC DISORDER",0.0,2.640391752893306e-05
ENTOCORT EC,142,"CROHN'S DISEASE, COLITIS MICROSCOPIC, COLITIS",0.0,2.6219274749010453e-05
ACETAMINOPHEN 650MG ER 544,142,"ARTHRITIS, ANTICOAGULANT THERAPY, DYSPEPSIA",0.06338028169014084,2.6219274749010453e-05
NUCYNTA ER,142,"PROCEDURAL PAIN, GASTROOESOPHAGEAL REFLUX DISEASE, PRODUCT USED FOR UNKNOWN INDICATION",0.1056338028169014,2.6219274749010453e-05
CHILDRENS ADVIL,141,"PYREXIA, NASOPHARYNGITIS, HEADACHE",0.0,2.6034631969087845e-05
5-FU,141,"PANCREATIC ADENOCARCINOMA, COLORECTAL CANCER METASTATIC, CERVIX CARCINOMA",0.40425531914893614,2.6034631969087845e-05
URSODEOXYCHOLIC ACID,141,"CHOLESTASIS OF PREGNANCY, GENERALIZED ITCHING, PRURITUS GENERALIZED",0.11347517730496454,2.6034631969087845e-05
OLMESARTAN MEDOXOMIL,141,"HYPERTENSION, ESSENTIAL HYPERTENSION, HYPERTENSION ARTERIAL",0.028368794326241134,2.6034631969087845e-05
IMMUCYST,141,"BLADDER CANCER, PRODUCT USED FOR UNKNOWN INDICATION, URETHRAL CANCER",0.1347517730496454,2.6034631969087845e-05
TAMOXIFEN,140,"BREAST CANCER, NEOPLASM MALIGNANT, PRODUCT USED FOR UNKNOWN INDICATION",0.0,2.5849989189165237e-05
CETIRIZINE (CETIRIZINE),140,"HAY FEVER, RHINITIS, BIPOLAR DISORDER",0.0,2.5849989189165237e-05
HUMAN ALBUMIN/BAXTER 200G/L SOLUTION FOR INFUSION,140,"HYPOALBUMINEMIA, NEPHROTIC SYNDROME, ANASARCA",0.5,2.5849989189165237e-05
ZOPICLONE,140,"INSOMNIA RELATED TO ANOTHER MENTAL CONDITION, MENTAL DISORDER, DRUG DEPENDENCE",0.20714285714285716,2.5849989189165237e-05
DEPO-TESTOSTERONE,140,"BLOOD TESTOSTERONE DECREASED, HYPOGONADISM, TYPE 2 DIABETES MELLITUS",0.0,2.5849989189165237e-05
RITONAVIR,139,"HIV INFECTION, PROPHYLACTIC CHEMOTHERAPY, PRODUCT USED FOR UNKNOWN INDICATION",0.050359712230215826,2.5665346409242626e-05
CYCLOPHOSPHAMID,139,"CHRONIC LYMPHOCYTIC LEUKAEMIA, CHRONIC LYMPHOID LEUKAEMIA, DRUG USE FOR UNKNOWN INDICATION",0.4748201438848921,2.5665346409242626e-05
GENOTROPIN GOQUICK,139,"GROWTH HORMONE DEFICIENCY, PRIMARY HYPERALDOSTERONISM, INSOMNIA",0.0,2.5665346409242626e-05
SODIUM VALPROATE,139,"BIPOLAR I DISORDER, PRODUCT USED FOR UNKNOWN INDICATION, URINARY TRACT INFECTION",0.07194244604316546,2.5665346409242626e-05
ELONTRIL,138,"PRODUCT USED FOR UNKNOWN INDICATION, DEPRESSION, MIGRAINE",0.0,2.5480703629320018e-05
LATISSE 0.03%,138,"HYPOTRICHOSIS OF EYELID, BLOOD PRESSURE, THYROID DISORDER NOS",0.0,2.5480703629320018e-05
DIOVAN TRIPLE,138,"BLOOD PRESSURE, HYPERTENSION, BLOOD CHOLESTEROL INCREASED",0.0,2.5480703629320018e-05
STROMECTOL,138,"ACARODERMATITIS, ONCHOCERCIASIS, INFECTION PARASITIC",0.007246376811594203,2.5480703629320018e-05
DOXYCYCLINE HYCLATE,138,"OTITIS MEDIA ACUTE, URINARY TRACT INFECTION, INFECTION",0.0,2.5480703629320018e-05
CLOBETASOL,138,"TOXIC SKIN ERUPTION, ESSENTIAL HYPERTENSION, DIABETES MELLITUS",0.0,2.5480703629320018e-05
MESALAMINE,137,"CROHN'S DISEASE, ULCERATIVE COLITIS, CROHN'S COLITIS",0.0364963503649635,2.529606084939741e-05
DUROGESIC DTRANS,137,"PRODUCT USED FOR UNKNOWN INDICATION, PAIN, ENTEROCUTANEOUS FISTULA",0.0,2.529606084939741e-05
ROMIPLOSTIM,137,"IDIOPATHIC THROMBOCYTOPENIC PURPURA, PROPHYLAXIS, HYPERTENSION",0.6204379562043796,2.529606084939741e-05
ADCETRIS,136,"ADULT T-CELL LYMPHOMA/LEUKAEMIA, ANAPLASTIC LARGE CELL LYMPHOMA T- AND NULL-CELL TYPES, NON-HODGKIN'S LYMPHOMA REFRACTORY",0.33088235294117646,2.5111418069474802e-05
ELTROMBOPAG,136,"IDIOPATHIC THROMBOCYTOPENIC PURPURA, THROMBOCYTOPENIA, MYELODYSPLASTIC SYNDROME",0.029411764705882353,2.5111418069474802e-05
KALYDECO,136,"CYSTIC FIBROSIS, CYSTIC FIBROSIS RELATED DIABETES, LYMPHOMA",0.022058823529411766,2.5111418069474802e-05
XAGRID,136,"ESSENTIAL THROMBOCYTHAEMIA, ANGINA PECTORIS, BLOOD URIC ACID INCREASED",0.14705882352941177,2.5111418069474802e-05
ZAPONEX,136,"SCHIZOPHRENIA, DRUG USE FOR UNKNOWN INDICATION",0.5,2.5111418069474802e-05
NEVIRAPINE,135,"HIV INFECTION, ANTIBIOTIC PROPHYLAXIS, ACQUIRED IMMUNODEFICIENCY SYNDROME",0.17037037037037037,2.492677528955219e-05
BOTOX COSMETIC,135,"FROWN LINES, CROW'S FEET, SKIN WRINKLING",0.0,2.492677528955219e-05
PHENYTOIN SODIUM,135,"CONVULSION, LOWER RESPIRATORY TRACT INFECTION, MENINGITIS",0.06666666666666667,2.492677528955219e-05
CARDURAN NEO,135,"REHABILITATION THERAPY, HYPERTENSION, INFLUENZA",0.0,2.492677528955219e-05
ACICLOVIR,135,"KERATITIS HERPETIC, PAIN, RASH VESICULAR",0.14074074074074075,2.492677528955219e-05
DETRUSITOL LA,134,"URINARY INCONTINENCE, MICTURITION URGENCY, DYSLIPIDEMIA",0.05223880597014925,2.4742132509629583e-05
HUMAN ALBUMIN,134,"DRUG USE FOR UNKNOWN INDICATION, HYPOALBUMINEMIA, RESPIRATORY INFECTION",0.4925373134328358,2.4742132509629583e-05
VENLAFAXINE HCL,134,"POST-TRAUMATIC STRESS DISORDER, SUICIDE ATTEMPT, DEPRESSION",0.0,2.4742132509629583e-05
EPINEPHRINE,134,"EPIDURAL TEST DOSE, ANAESTHESIA, VASOCONSTRICTION",0.08955223880597014,2.4742132509629583e-05
SAXAGLIPTIN,134,"TYPE 2 DIABETES MELLITUS, STAPHYLOCOCCAL INFECTION",0.0,2.4742132509629583e-05
DEGARELIX,133,"PROSTATE CANCER, PROSTATE CANCER METASTATIC, PRODUCT USED FOR UNKNOWN INDICATION",0.0,2.4557489729706975e-05
PODOMEXEF,133,"PHARYNGITIS, BACTERIAL INFECTION, ASYMPTOMATIC HUMAN IMMUNODEFICIENCY VIRUS TYPE I INFECTION",0.0,2.4557489729706975e-05
CLARITIN-D 12 HOUR,133,"PRODUCT USED FOR UNKNOWN INDICATION, RESPIRATORY TRACT CONGESTION, MEDICAL OBSERVATION",0.0,2.4557489729706975e-05
AMOXICILLIN AND CLAVULANIC ACID,132,"URINARY TRACT INFECTION, WOUND INFECTION, DRUG USE FOR UNKNOWN INDICATION",0.0,2.4372846949784363e-05
CEPHALEXIN,132,"WOUND INFECTION, HYPERTENSION, POSTOPERATIVE CARE",0.15151515151515152,2.4372846949784363e-05
"ENDOXAN 1000 MG, POUDRE POUR SOLUTION INJECTABLE",132,"BURKITT'S LYMPHOMA STAGE IV, DRUG USE FOR UNKNOWN INDICATION, CHEMOTHERAPY",0.25,2.4372846949784363e-05
TYGACIL,132,"ACINETOBACTER INFECTION, PNEUMONIA, ABDOMINAL INFECTION",0.14393939393939395,2.4372846949784363e-05
XANOR,132,"INJURY, BURNOUT SYNDROME, STRESS",0.0,2.4372846949784363e-05
ARESTAL,132,"DIARRHOEA, PRODUCT USED FOR UNKNOWN INDICATION, HAEMORRHOIDS",0.0,2.4372846949784363e-05
